"Bande","Separabilite","Chevauchement"
"44","0.071370640713706","0.92862935928629"
"142","0.063063063063063","0.93693693693694"
"47","0.055490425947636","0.94450957405236"
"38","0.054246966452534","0.94575303354747"
"48","0.044321329639889","0.95567867036011"
"52","0.039662447257384","0.96033755274262"
"51","0.038882138517618","0.96111786148238"
"102","0.037974683544304","0.9620253164557"
"40","0.037552155771905","0.96244784422809"
"42","0.036434382737885","0.96356561726212"
"49","0.035108481262327","0.96489151873767"
"104","0.033898305084746","0.96610169491525"
"50","0.032051282051282","0.96794871794872"
"41","0.03120665742025","0.96879334257975"
"37","0.029886636894538","0.97011336310546"
"43","0.027228646027602","0.9727713539724"
"144","0.022727272727273","0.97727272727273"
"145","0.021739130434783","0.97826086956522"
"45","0.020833333333333","0.97916666666667"
"93","0.01437908496732","0.98562091503268"
"96","0.011734028683181","0.98826597131682"
"46","0.011605415860735","0.98839458413926"
"53","0.010292953285827","0.98970704671417"
"39","0.008099094807051","0.99190090519295"
"84","0.0065876152832675","0.99341238471673"
"83","0.0039113428943938","0.99608865710561"
"85","0.0021645021645021","0.9978354978355"
"0","0.0013351134846462","0.99866488651535"
"90","0.0013140604467805","0.99868593955322"
"89","0.0013037809647979","0.9986962190352"
"60","0.0013037809647979","0.9986962190352"
"86","0.0013037809647979","0.9986962190352"
"88","0.0013037809647979","0.9986962190352"
"103","0","1"
"199","0","1"
"143","0","1"
"95","0","1"
"198","0","1"
"87","0","1"
"27","-14.180691912108","15.180691912108"
"25","-14.50178784267","15.50178784267"
"28","-14.911045218681","15.911045218681"
"26","-15.569262400411","16.569262400411"
"31","-16.255021141649","17.255021141649"
"29","-16.755708390646","17.755708390646"
"3","-30.098665395615","31.098665395615"
"2","-31.02496328928","32.02496328928"
"33","-32.396216768916","33.396216768916"
"21","-38.348192771084","39.348192771084"
"1","-38.596852300242","39.596852300242"
"20","-38.6642380085","39.6642380085"
"19","-39.379480840544","40.379480840544"
"22","-39.882315921963","40.882315921963"
"23","-40.56154822335","41.56154822335"
"24","-41.636363636364","42.636363636364"
"32","-42.70395177495","43.70395177495"
"56","-42.823962516734","43.823962516734"
"30","-43.427501701838","44.427501701838"
"74","-46.30529369108","47.30529369108"
"36","-51.216733067729","52.216733067729"
"34","-60.585849056604","61.585849056604"
"63","-64.680722891566","65.680722891566"
"65","-66.50773993808","67.50773993808"
"67","-67.643231899265","68.643231899265"
"64","-67.982067510549","68.982067510549"
"66","-68.607446808511","69.607446808511"
"68","-69.558189655172","70.558189655172"
"62","-71.427464008859","72.427464008859"
"69","-72.204697986577","73.204697986577"
"70","-74.373271889401","75.373271889401"
"71","-74.656647398844","75.656647398844"
"72","-75.428738317757","76.428738317757"
"54","-76.412529550827","77.412529550827"
"35","-76.418439716312","77.418439716312"
"73","-77.820481927711","78.820481927711"
"55","-81.111528822055","82.111528822055"
"61","-83.971428571429","84.971428571429"
"18","-84.661861074705","85.661861074705"
"6","-87.460810810811","88.460810810811"
"11","-88.961485557084","89.961485557084"
"15","-89.026170798898","90.026170798898"
"13","-89.680998613037","90.680998613037"
"16","-91.500707213578","92.500707213578"
"5","-91.739376770538","92.739376770538"
"17","-93.014388489209","94.014388489209"
"12","-95.393805309735","96.393805309735"
"9","-95.463126843658","96.463126843658"
"10","-97.756797583082","98.756797583082"
"14","-97.931921331316","98.931921331316"
"8","-101.1125","102.1125"
"92","-102.1119873817","103.1119873817"
"97","-102.88553259141","103.88553259141"
"7","-103.53833865815","104.53833865815"
"94","-107.6146179402","108.6146179402"
"82","-108.59296482412","109.59296482412"
"91","-119.69926199262","120.69926199262"
"75","-120.26666666667","121.26666666667"
"81","-120.8677839851","121.8677839851"
"98","-124.96724470135","125.96724470135"
"4","-125.26011560694","126.26011560694"
"116","-127.59135559921","128.59135559921"
"117","-132.0406504065","133.0406504065"
"115","-132.28513238289","133.28513238289"
"114","-134.78838174274","135.78838174274"
"118","-139.71397849462","140.71397849462"
"99","-142.40570175439","143.40570175439"
"125","-147.34467120181","148.34467120181"
"113","-149.1376146789","150.1376146789"
"121","-153.74704491726","154.74704491726"
"124","-155.94724220624","156.94724220624"
"119","-156.34855769231","157.34855769231"
"59","-156.43269230769","157.43269230769"
"58","-157.25845410628","158.25845410628"
"123","-157.85436893204","158.85436893204"
"120","-158.27493917275","159.27493917275"
"126","-160.19950738916","161.19950738916"
"122","-160.61728395062","161.61728395062"
"127","-164.67341772152","165.67341772152"
"128","-173.46666666667","174.46666666667"
"57","-174.16310160428","175.16310160428"
"129","-175.89459459459","176.89459459459"
"112","-175.97297297297","176.97297297297"
"80","-182.3837535014","183.3837535014"
"130","-186.60458452722","187.60458452722"
"131","-196.23795180723","197.23795180723"
"100","-202.16770186335","203.16770186335"
"132","-208.89423076923","209.89423076923"
"133","-225.64705882353","226.64705882353"
"78","-232.82142857143","233.82142857143"
"76","-237.17454545455","238.17454545455"
"111","-238.06934306569","239.06934306569"
"134","-242.52788104089","243.52788104089"
"79","-243.46268656716","244.46268656716"
"136","-247.13257575758","248.13257575758"
"135","-256.87795275591","257.87795275591"
"137","-267.45901639344","268.45901639344"
"138","-267.49180327869","268.49180327869"
"159","-292.73094170404","293.73094170404"
"163","-295.38461538462","296.38461538462"
"161","-295.42081447964","296.42081447964"
"158","-296.73636363636","297.73636363636"
"160","-299.37614678899","300.37614678899"
"162","-300.83870967742","301.83870967742"
"164","-305.04205607477","306.04205607477"
"77","-305.16822429907","306.16822429907"
"101","-306.37558685446","307.37558685446"
"166","-318.47804878049","319.47804878049"
"165","-321.63054187192","322.63054187192"
"172","-321.64532019704","322.64532019704"
"171","-324.87064676617","325.87064676617"
"167","-328.17587939698","329.17587939698"
"169","-334.87692307692","335.87692307692"
"139","-334.98461538462","335.98461538462"
"168","-338.31088082902","339.31088082902"
"153","-342.06282722513","343.06282722513"
"170","-343.73157894737","344.73157894737"
"173","-347.41489361702","348.41489361702"
"157","-355.07065217391","356.07065217391"
"174","-371.16477272727","372.16477272727"
"154","-380","381"
"155","-382.10526315789","383.10526315789"
"152","-398.4756097561","399.4756097561"
"156","-403.37654320988","404.37654320988"
"108","-405.91925465839","406.91925465839"
"110","-413.68987341772","414.68987341772"
"140","-416.35031847134","417.35031847134"
"175","-424.37012987013","425.37012987013"
"177","-430.03289473684","431.03289473684"
"178","-460.37323943662","461.37323943662"
"176","-463.78723404255","464.78723404255"
"148","-480.73529411765","481.73529411765"
"179","-495.37121212121","496.37121212121"
"180","-502.99230769231","503.99230769231"
"181","-519.05555555556","520.05555555556"
"194","-523.256","524.256"
"109","-536.03278688525","537.03278688525"
"182","-536.08196721311","537.08196721311"
"192","-540.60330578512","541.60330578512"
"107","-545.125","546.125"
"141","-549.59663865546","550.59663865546"
"183","-559.04273504273","560.04273504273"
"196","-559.06837606838","560.06837606838"
"149","-559.12820512821","560.12820512821"
"147","-584.08928571429","585.08928571429"
