"Configuration","Classe","F1 Score"
"d1_c4","0","0.84788029925187"
"d1_c4","1","0"
"d1_c4","2","0.68345323741007"
"d1_c4","3","0.69753086419753"
"d1_c4","4","0.75"
"d1_c4","5","0.74556213017751"
"d1_c4","6","0.84067796610169"
"d1_c4","7","0.66666666666667"
"d1_c4","8","0.92462311557789"
"d1_c4","9","0"
"d1_c4","10","0.76923076923077"
"d1_c4","11","0.74793767186068"
"d1_c4","12","0.65989847715736"
"d1_c4","13","0.92307692307692"
"d1_c4","14","0.67355371900826"
"d1_c4","15","0"
"d1_c4","16","0.86486486486486"
"d1_c8","0","0.85184357541899"
"d1_c8","1","0"
"d1_c8","2","0.6692607003891"
"d1_c8","3","0.7125748502994"
"d1_c8","4","0.76190476190476"
"d1_c8","5","0.76923076923077"
"d1_c8","6","0.87162162162162"
"d1_c8","7","0.66666666666667"
"d1_c8","8","0.93401015228426"
"d1_c8","9","0"
"d1_c8","10","0.78756476683938"
"d1_c8","11","0.76660341555977"
"d1_c8","12","0.65989847715736"
"d1_c8","13","0.95"
"d1_c8","14","0.71574642126789"
"d1_c8","15","0"
"d1_c8","16","0.88888888888889"
"d2_c4","0","0.85727089401748"
"d2_c4","1","0"
"d2_c4","2","0.69428007889546"
"d2_c4","3","0.79402985074627"
"d2_c4","4","0.77272727272727"
"d2_c4","5","0.80981595092025"
"d2_c4","6","0.88811188811189"
"d2_c4","7","0.8"
"d2_c4","8","0.93877551020408"
"d2_c4","9","0"
"d2_c4","10","0.75425790754258"
"d2_c4","11","0.79881656804734"
"d2_c4","12","0.67605633802817"
"d2_c4","13","0.97560975609756"
"d2_c4","14","0.74308300395257"
"d2_c4","15","0.097560975609756"
"d2_c4","16","0.92682926829268"
"d2_c8","0","0.8747461069736"
"d2_c8","1","0"
"d2_c8","2","0.725"
"d2_c8","3","0.84242424242424"
"d2_c8","4","0.87058823529412"
"d2_c8","5","0.76646706586826"
"d2_c8","6","0.92465753424658"
"d2_c8","7","0"
"d2_c8","8","0.9375"
"d2_c8","9","0"
"d2_c8","10","0.73994638069705"
"d2_c8","11","0.81658986175115"
"d2_c8","12","0.80519480519481"
"d2_c8","13","0.9620253164557"
"d2_c8","14","0.78571428571429"
"d2_c8","15","0.40384615384615"
"d2_c8","16","0.89473684210526"
"d3_c4","0","0.87095303237574"
"d3_c4","1","0"
"d3_c4","2","0.71887550200803"
"d3_c4","3","0.8080229226361"
"d3_c4","4","0.81818181818182"
"d3_c4","5","0.78048780487805"
"d3_c4","6","0.91582491582492"
"d3_c4","7","0.8"
"d3_c4","8","0.94416243654822"
"d3_c4","9","0"
"d3_c4","10","0.72823218997361"
"d3_c4","11","0.80404783808648"
"d3_c4","12","0.73429951690821"
"d3_c4","13","0.96296296296296"
"d3_c4","14","0.79615384615385"
"d3_c4","15","0.34042553191489"
"d3_c4","16","0.9"
"d3_c8","0","0.87219382084908"
"d3_c8","1","0"
"d3_c8","2","0.79376083188908"
"d3_c8","3","0.85079365079365"
"d3_c8","4","0.82758620689655"
"d3_c8","5","0.77906976744186"
"d3_c8","6","0.90169491525424"
"d3_c8","7","0.28571428571429"
"d3_c8","8","0.92929292929293"
"d3_c8","9","0"
"d3_c8","10","0.73316708229426"
"d3_c8","11","0.85358255451713"
"d3_c8","12","0.71844660194175"
"d3_c8","13","0.92307692307692"
"d3_c8","14","0.78048780487805"
"d3_c8","15","0.53703703703704"
"d3_c8","16","0.85"
