"Configuration","Classe","F1 Score"
"d1_c4","0","0.83616071428571"
"d1_c4","1","0"
"d1_c4","2","0.69808027923211"
"d1_c4","3","0.65116279069767"
"d1_c4","4","0.75555555555556"
"d1_c4","5","0.75776397515528"
"d1_c4","6","0.82638888888889"
"d1_c4","7","0.5"
"d1_c4","8","0.93467336683417"
"d1_c4","9","0"
"d1_c4","10","0.7455919395466"
"d1_c4","11","0.77431906614786"
"d1_c4","12","0.50526315789474"
"d1_c4","13","0.93827160493827"
"d1_c4","14","0.5843621399177"
"d1_c4","15","0"
"d1_c4","16","0.78947368421053"
"d1_c8","0","0.84766418415708"
"d1_c8","1","0.36363636363636"
"d1_c8","2","0.69749518304432"
"d1_c8","3","0.58181818181818"
"d1_c8","4","0.77083333333333"
"d1_c8","5","0.78313253012048"
"d1_c8","6","0.89041095890411"
"d1_c8","7","0.5"
"d1_c8","8","0.92857142857143"
"d1_c8","9","0"
"d1_c8","10","0.74935400516796"
"d1_c8","11","0.77209302325581"
"d1_c8","12","0.58241758241758"
"d1_c8","13","0.925"
"d1_c8","14","0.70175438596491"
"d1_c8","15","0.049382716049383"
"d1_c8","16","0.86486486486486"
"d2_c4","0","0.84418500224517"
"d2_c4","1","0"
"d2_c4","2","0.68828828828829"
"d2_c4","3","0.6643598615917"
"d2_c4","4","0.81318681318681"
"d2_c4","5","0.78260869565217"
"d2_c4","6","0.82926829268293"
"d2_c4","7","0"
"d2_c4","8","0.93401015228426"
"d2_c4","9","0"
"d2_c4","10","0.7218045112782"
"d2_c4","11","0.78870496592016"
"d2_c4","12","0.67592592592593"
"d2_c4","13","0.93975903614458"
"d2_c4","14","0.67710371819961"
"d2_c4","15","0.050632911392405"
"d2_c4","16","0.9047619047619"
"d2_c8","0","0.84917175239756"
"d2_c8","1","0"
"d2_c8","2","0.72904483430799"
"d2_c8","3","0.65771812080537"
"d2_c8","4","0.80898876404494"
"d2_c8","5","0.78260869565217"
"d2_c8","6","0.85017421602787"
"d2_c8","7","0"
"d2_c8","8","0.92227979274611"
"d2_c8","9","0"
"d2_c8","10","0.75916230366492"
"d2_c8","11","0.80284552845528"
"d2_c8","12","0.56084656084656"
"d2_c8","13","0.93827160493827"
"d2_c8","14","0.70682730923695"
"d2_c8","15","0.25"
"d2_c8","16","0.95"
"d3_c4","0","0.84983012457531"
"d3_c4","1","0"
"d3_c4","2","0.70546737213404"
"d3_c4","3","0.64918032786885"
"d3_c4","4","0.81720430107527"
"d3_c4","5","0.78048780487805"
"d3_c4","6","0.87719298245614"
"d3_c4","7","0"
"d3_c4","8","0.92"
"d3_c4","9","0"
"d3_c4","10","0.76190476190476"
"d3_c4","11","0.80358923230309"
"d3_c4","12","0.72961373390558"
"d3_c4","13","0.93827160493827"
"d3_c4","14","0.72625698324022"
"d3_c4","15","0.24719101123596"
"d3_c4","16","0.92682926829268"
"d3_c8","0","0.84956925115971"
"d3_c8","1","0"
"d3_c8","2","0.70840787119857"
"d3_c8","3","0.65161290322581"
"d3_c8","4","0.81318681318681"
"d3_c8","5","0.76073619631902"
"d3_c8","6","0.88028169014085"
"d3_c8","7","0"
"d3_c8","8","0.9009900990099"
"d3_c8","9","0"
"d3_c8","10","0.75070028011204"
"d3_c8","11","0.8130081300813"
"d3_c8","12","0.5427135678392"
"d3_c8","13","0.93827160493827"
"d3_c8","14","0.70756646216769"
"d3_c8","15","0.51428571428571"
"d3_c8","16","0.9"
