Modèle,Train Size,Bands ES DC,Weighted F1 Score,Accuracy
GAT 1 Couche,10% train,5,0.4991184959932737,0.5881793881793882
GAT 1 Couche,10% train,10,0.6658758440144583,0.6863676863676864
GAT 1 Couche,10% train,20,0.7056336467298244,0.7313335313335313
GAT 1 Couche,10% train,Toutes les bandes,0.7698364933269414,0.7836649836649837
GAT 1 Couche,5% train,5,0.5044200611396469,0.5862505940123555
GAT 1 Couche,5% train,10,0.6504400496405901,0.6794445324462749
GAT 1 Couche,5% train,20,0.6926962369856055,0.7151380748719574
GAT 1 Couche,5% train,Toutes les bandes,0.7559674770242788,0.7654575215164475
GAT 1 Couche,config3_30_20percent,5,0.5055782920791431,0.5910127303819115
GAT 1 Couche,config3_30_20percent,10,0.6862424363570463,0.7053011590347711
GAT 1 Couche,config3_30_20percent,20,0.736874717439537,0.7503325099752992
GAT 1 Couche,config3_30_20percent,Toutes les bandes,0.7935436870471874,0.8036291088732662
GAT 1 Couche,config4_50_20percent,5,0.5742564095109923,0.6261874604179861
GAT 1 Couche,config4_50_20percent,10,0.6932806856627554,0.7108929702343255
GAT 1 Couche,config4_50_20percent,20,0.7325708615655976,0.7495250158328056
GAT 1 Couche,config4_50_20percent,Toutes les bandes,0.8133885985787671,0.8191893603546548
GAT 2 Couches,10% train,5,0.6101080606721551,0.6453222453222454
GAT 2 Couches,10% train,10,0.7379374966917246,0.7501039501039501
GAT 2 Couches,10% train,20,0.7604772062219977,0.771012771012771
GAT 2 Couches,10% train,Toutes les bandes,0.6229492448560363,0.6781110781110781
GAT 2 Couches,5% train,5,0.6158387122838859,0.6477110723903057
GAT 2 Couches,5% train,10,0.7054424040530669,0.7174613231955225
GAT 2 Couches,5% train,20,0.7537112408584986,0.7609694281641058
GAT 2 Couches,5% train,Toutes les bandes,0.5340683641269311,0.6231585616980834
GAT 2 Couches,config3_30_20percent,5,0.6274234912023023,0.6594147824434733
GAT 2 Couches,config3_30_20percent,10,0.7564759008435697,0.7673380201406043
GAT 2 Couches,config3_30_20percent,20,0.7898456458950573,0.7992589777693331
GAT 2 Couches,config3_30_20percent,Toutes les bandes,0.7714176973652093,0.7810184305529166
GAT 2 Couches,config4_50_20percent,5,0.6403449284481579,0.6649778340721976
GAT 2 Couches,config4_50_20percent,10,0.752423607201442,0.7607663077897403
GAT 2 Couches,config4_50_20percent,20,0.7912235769872754,0.7984483850538315
GAT 2 Couches,config4_50_20percent,Toutes les bandes,0.7328190753650409,0.7583913869537682
GAT 3 Couches,10% train,5,0.6390718589208852,0.6617760617760617
GAT 3 Couches,10% train,10,0.7631304084104664,0.7694089694089694
GAT 3 Couches,10% train,20,0.7501174812144304,0.7552717552717553
GAT 3 Couches,10% train,Toutes les bandes,0.4561066032337093,0.5641817641817641
GAT 3 Couches,5% train,5,0.6044171319419976,0.643909393315381
GAT 3 Couches,5% train,10,0.7256170957856277,0.7323512329056444
GAT 3 Couches,5% train,20,0.745574070631213,0.7514652304767939
GAT 3 Couches,5% train,Toutes les bandes,0.4522532667783503,0.5660277733776863
GAT 3 Couches,config3_30_20percent,5,0.6374798508925982,0.6643549306479194
GAT 3 Couches,config3_30_20percent,10,0.7931348831012313,0.8009690290708721
GAT 3 Couches,config3_30_20percent,20,0.7187740811090152,0.7336120083602508
GAT 3 Couches,config3_30_20percent,Toutes les bandes,0.4574683482070981,0.5698270948128444
GAT 3 Couches,config4_50_20percent,5,0.6723004781006802,0.6918936035465485
GAT 3 Couches,config4_50_20percent,10,0.7742545611751015,0.7772324255858138
GAT 3 Couches,config4_50_20percent,20,0.7962584847901708,0.8065231158961368
GAT 3 Couches,config4_50_20percent,Toutes les bandes,0.6047704245485718,0.668777707409753
GCN 1 Couche,10% train,5,0.4528155660073481,0.5756459756459756
GCN 1 Couche,10% train,10,0.5286256440666925,0.6160974160974161
GCN 1 Couche,10% train,20,0.6035879192810168,0.6611226611226612
GCN 1 Couche,10% train,Toutes les bandes,0.7398900980205618,0.7591327591327591
GCN 1 Couche,5% train,5,0.4790266184391631,0.587412218174138
GCN 1 Couche,5% train,10,0.514860925428499,0.6123871376524632
GCN 1 Couche,5% train,20,0.5896240565290511,0.6481334811764085
GCN 1 Couche,5% train,Toutes les bandes,0.7034617405269017,0.7283911505359312
GCN 1 Couche,config3_30_20percent,5,0.494115999347004,0.593007790233707
GCN 1 Couche,config3_30_20percent,10,0.5748255121640198,0.6428842865285959
GCN 1 Couche,config3_30_20percent,20,0.586130644488984,0.6570397111913358
GCN 1 Couche,config3_30_20percent,Toutes les bandes,0.7329659677230438,0.7528025840775223
GCN 1 Couche,config4_50_20percent,5,0.4728440741981227,0.5839138695376821
GCN 1 Couche,config4_50_20percent,10,0.5638376260934133,0.6398036732108929
GCN 1 Couche,config4_50_20percent,20,0.6177314980819287,0.6719442685243825
GCN 1 Couche,config4_50_20percent,Toutes les bandes,0.7265352482530714,0.7503166561114629
GCN 2 Couches,10% train,5,0.5203436463127187,0.6024354024354024
GCN 2 Couches,10% train,10,0.6095100512001519,0.6651024651024651
GCN 2 Couches,10% train,20,0.6801006075368559,0.712978912978913
GCN 2 Couches,10% train,Toutes les bandes,0.7571881725284355,0.7765963765963766
GCN 2 Couches,5% train,5,0.4572896825754473,0.5736839326257986
GCN 2 Couches,5% train,10,0.541125274464117,0.6167696288082792
GCN 2 Couches,5% train,20,0.6197179889051825,0.6717355720998996
GCN 2 Couches,5% train,Toutes les bandes,0.7392282451590144,0.758910185331855
GCN 2 Couches,config3_30_20percent,5,0.5168027075025916,0.6030780923427703
GCN 2 Couches,config3_30_20percent,10,0.6432238012734717,0.6863005890176705
GCN 2 Couches,config3_30_20percent,20,0.6916364057488147,0.7261067832034961
GCN 2 Couches,config3_30_20percent,Toutes les bandes,0.7517800063460728,0.7732281968459054
GCN 2 Couches,config4_50_20percent,5,0.5394405536478054,0.6116212792906903
GCN 2 Couches,config4_50_20percent,10,0.6282357832607243,0.66846105129829
GCN 2 Couches,config4_50_20percent,20,0.699376469455813,0.7298923369221026
GCN 2 Couches,config4_50_20percent,Toutes les bandes,0.7724937432516994,0.7887903736542116
GCN 3 Couches,10% train,5,0.5565582887645254,0.6280962280962281
GCN 3 Couches,10% train,10,0.6487365169484772,0.6904662904662905
GCN 3 Couches,10% train,20,0.710677726135673,0.7315117315117315
GCN 3 Couches,10% train,Toutes les bandes,0.7592176067371036,0.7760617760617761
GCN 3 Couches,5% train,5,0.4490065107124462,0.5606420613548762
GCN 3 Couches,5% train,10,0.527433738058603,0.6123343365542003
GCN 3 Couches,5% train,20,0.6518861189277645,0.6919583927345688
GCN 3 Couches,5% train,Toutes les bandes,0.7302311298536995,0.7405882042346481
GCN 3 Couches,config3_30_20percent,5,0.5467272491112162,0.6170435113053392
GCN 3 Couches,config3_30_20percent,10,0.6840684246559166,0.7065361960858826
GCN 3 Couches,config3_30_20percent,20,0.711386045220485,0.7390271708151245
GCN 3 Couches,config3_30_20percent,Toutes les bandes,0.7725080725986918,0.7886186585597568
GCN 3 Couches,config4_50_20percent,5,0.5640114788760967,0.6336288790373654
GCN 3 Couches,config4_50_20percent,10,0.6866438159297603,0.7178594046865104
GCN 3 Couches,config4_50_20percent,20,0.7393431050094902,0.7547498416719443
GCN 3 Couches,config4_50_20percent,Toutes les bandes,0.7902200884736842,0.8028815706143129
GraphSAGE 1 Couche,10% train,20,0.612954574844962,0.6676566676566676
GraphSAGE 1 Couche,10% train,Toutes les bandes,0.6303280515048298,0.6723492723492723
GraphSAGE 1 Couche,5% train,20,0.5185940701386801,0.5998204762659063
GraphSAGE 1 Couche,5% train,Toutes les bandes,0.5007461472476749,0.5992396641850151
GraphSAGE 1 Couche,config3_30_20percent,20,0.7210807228614076,0.7481474444233327
GraphSAGE 1 Couche,config3_30_20percent,Toutes les bandes,0.7504313228101638,0.7724681740452214
GraphSAGE 1 Couche,config4_50_20percent,20,0.7686188400540971,0.7797656744775174
GraphSAGE 1 Couche,config4_50_20percent,Toutes les bandes,0.7668793946292385,0.7879987333755542
GraphSAGE 2 Couches,10% train,20,0.6490569114935771,0.6771012771012771
GraphSAGE 2 Couches,10% train,Toutes les bandes,0.58072951934483,0.6475794475794476
GraphSAGE 2 Couches,5% train,20,0.5131120163893206,0.6046253762078251
GraphSAGE 2 Couches,5% train,Toutes les bandes,0.5072313729140845,0.6066318179418132
GraphSAGE 2 Couches,config3_30_20percent,20,0.7602178061408983,0.7676230286908607
GraphSAGE 2 Couches,config3_30_20percent,Toutes les bandes,0.7178904266533607,0.7551776553296599
GraphSAGE 2 Couches,config4_50_20percent,20,0.7827553272945162,0.7924319189360355
GraphSAGE 2 Couches,config4_50_20percent,Toutes les bandes,0.8433811278575929,0.8467384420519316
GraphSAGE 3 Couches,10% train,20,0.6177306737919198,0.6746064746064746
GraphSAGE 3 Couches,10% train,Toutes les bandes,0.6303980458479552,0.6967626967626968
GraphSAGE 3 Couches,5% train,20,0.564957329727922,0.6454406251650034
GraphSAGE 3 Couches,5% train,Toutes les bandes,0.559180622671974,0.6377316648186282
GraphSAGE 3 Couches,config3_30_20percent,20,0.7632094939788027,0.7876686300589018
GraphSAGE 3 Couches,config3_30_20percent,Toutes les bandes,0.8385941875057263,0.8444803344100323
GraphSAGE 3 Couches,config4_50_20percent,20,0.8074844930608155,0.8114312856238125
GraphSAGE 3 Couches,config4_50_20percent,Toutes les bandes,0.8855784347963463,0.8891703609879671
